"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",170.21089810988,-0.473311229406484,0.143271090899266,-3.30360595731953,0.000954498913838298,0.00938023104663878
"ENSG00000000005",1.65483035295164,0.160519744475527,0.346016095054829,0.463908317473183,0.642713433465183,0.776529927929662
"ENSG00000000419",137.010159734778,0.0975941722462877,0.0815137455922895,1.19727257700104,0.231200329466364,0.40206090326801
"ENSG00000000457",293.731560179034,-0.0623012047959372,0.0644387670971132,-0.966828007463975,0.33363002085782,0.511395989213624
"ENSG00000000460",126.22936874936,-0.349648116281595,0.116009699924984,-3.01395587185977,0.0025786530985033,0.018223098711943
"ENSG00000000938",103.352972453217,-0.154919916825552,0.143391477996692,-1.08039835414156,0.279964828448593,0.456079689123972
"ENSG00000000971",506.624252832381,-0.495472978095321,0.177006852259645,-2.79917399677008,0.00512335216976011,0.0290902493980122
"ENSG00000001036",290.124754692333,-0.342123228314146,0.0911072557367848,-3.75516994280416,0.000173223901173361,0.00310329367736097
"ENSG00000001084",1123.48698200797,-0.301177086311523,0.103797746530982,-2.90157634801471,0.00371290291263393,0.0234299148555827
"ENSG00000001167",841.722625525205,-0.221057866907541,0.0833883343320685,-2.65094474758598,0.00802669711403681,0.0395639481038266
"ENSG00000001460",370.293635860134,0.359060004519305,0.0638712846224647,5.62161864508698,1.89176506422719e-08,1.17299943787998e-05
"ENSG00000001461",3483.39702943092,-0.133198282330041,0.0985980711690282,-1.3509217852923,0.176720488828143,0.334546962595844
"ENSG00000001497",952.446191686398,-0.0582764761543296,0.0537044960034722,-1.08513216752954,0.277863122032065,0.453971450912445
"ENSG00000001561",1447.65527442129,-0.133484389590191,0.0918208918440322,-1.45374747412527,0.146016330887262,0.293655162898564
"ENSG00000001617",139.717610034083,-0.0730191739972852,0.166600044219835,-0.438290243794496,0.661175897350562,0.789695564255008
"ENSG00000001626",72.6039076031995,-0.357350037045762,0.174982428536439,-2.04220526617818,0.0411311743341845,0.122017159543012
"ENSG00000001629",3324.86549617005,-0.283440204938406,0.0850144882705155,-3.33402236141799,0.000855997758314802,0.008742333752764
"ENSG00000001630",1646.27523946953,-0.145782127429644,0.0971993374979319,-1.49982634843314,0.133659390263224,0.276066705581612
"ENSG00000001631",829.658636411621,0.122983656579437,0.0338234857020169,3.63604324116434,0.00027685787774131,0.00417569023441995
"ENSG00000002016",421.932323489167,-0.0137836623785244,0.0771313015498007,-0.178703873804396,0.858170227295723,0.919079891266079
"ENSG00000002330",397.902451593961,-0.0269899878721969,0.0534102217593029,-0.50533375416094,0.613324438913271,0.754343376243952
"ENSG00000002549",587.631973249574,-0.316214233782348,0.12889723849474,-2.45322737302283,0.0141580815053991,0.0580562176296973
"ENSG00000002586",689.465666889113,-0.656990309016,0.159176180027339,-4.12744110898477,3.66822331854102e-05,0.00112141127649399
"ENSG00000002587",142.292125781939,0.578266186590846,0.1300274720763,4.44726162369379,8.69718875570888e-06,0.000462234874773651
"ENSG00000002726",1.58633202223858,-0.568882726382014,0.367947788699969,-1.54609633174311,0.12208130458953,0.2591712098384
"ENSG00000002745",19.4419281130262,0.554354017782545,0.181300954327174,3.05764533805026,0.00223083432258502,0.0165364236491287
"ENSG00000002746",2125.96451809032,0.548644758681518,0.142021801594647,3.86310237246136,0.000111956061770789,0.00231980067124437
"ENSG00000002822",252.946483745662,-0.14109762454923,0.0600852034096348,-2.34829236721206,0.0188597109883971,0.0707144124327549
"ENSG00000002834",1962.22879493299,0.139608044923052,0.0594259924364121,2.34927578319263,0.0188099690843037,0.0705990578242058
"ENSG00000002919",262.297066488641,-0.0727638189057742,0.054967008433163,-1.32377258613685,0.185578583234174,0.346130108201306
"ENSG00000002933",138.666699629843,-0.380163990730459,0.137470954682634,-2.76541318570244,0.00568507352229967,0.0312515706365391
"ENSG00000003056",691.515833778201,-0.00836100924342384,0.0491438210297237,-0.17013347900577,0.864905164874973,0.923213363480113
"ENSG00000003096",113.034053028865,-0.120734475703364,0.146849264275746,-0.822166023771524,0.410982413011047,0.585820525110638
"ENSG00000003137",397.604163453028,0.244034477988774,0.161377831670722,1.51219331343295,0.130484691572459,0.271536291356162
