"geneid","gene_name"
"1","ENSG00000210049","MT-TF"
"2","ENSG00000211459","MT-RNR1"
"3","ENSG00000210077","MT-TV"
"4","ENSG00000210082","MT-RNR2"
"5","ENSG00000209082","MT-TL1"
"6","ENSG00000198888","MT-ND1"
"7","ENSG00000210100","MT-TI"
"8","ENSG00000210107","MT-TQ"
"9","ENSG00000210112","MT-TM"
"10","ENSG00000198763","MT-ND2"
"11","ENSG00000210117","MT-TW"
"12","ENSG00000210127","MT-TA"
"13","ENSG00000210135","MT-TN"
"14","ENSG00000210140","MT-TC"
"15","ENSG00000210144","MT-TY"
"16","ENSG00000198804","MT-CO1"
"17","ENSG00000210151","MT-TS1"
"18","ENSG00000210154","MT-TD"
"19","ENSG00000198712","MT-CO2"
"20","ENSG00000210156","MT-TK"
"21","ENSG00000228253","MT-ATP8"
"22","ENSG00000198899","MT-ATP6"
"23","ENSG00000198938","MT-CO3"
"24","ENSG00000210164","MT-TG"
"25","ENSG00000198840","MT-ND3"
"26","ENSG00000210174","MT-TR"
"27","ENSG00000212907","MT-ND4L"
"28","ENSG00000198886","MT-ND4"
"29","ENSG00000210176","MT-TH"
"30","ENSG00000210184","MT-TS2"
"31","ENSG00000210191","MT-TL2"
"32","ENSG00000198786","MT-ND5"
"33","ENSG00000198695","MT-ND6"
"34","ENSG00000210194","MT-TE"
"35","ENSG00000198727","MT-CYB"
"36","ENSG00000210195","MT-TT"
"37","ENSG00000210196","MT-TP"
"54","ENSG00000274917","RNA5-8SN5"
"163","ENSG00000274847","MAFIP"
"167","ENSG00000276700","RNA5-8SN4"
"246","ENSG00000291360","RPL23AP45"
"248","ENSG00000291362","C8orf33"
"249","ENSG00000291364","LINC02688"
"250","ENSG00000291363","MUC5AC"
"251","ENSG00000293532","MUC2"
"252","ENSG00000288360","ZSWIM4"
"254","ENSG00000288240","RN7SL619P"
"255","ENSG00000288498","MIR23AHG"
"256","ENSG00000288126","MIR24-2"
"257","ENSG00000288183","MIR27A"
"258","ENSG00000288462","MIR23A"
"259","ENSG00000288505","NANOS3"
"260","ENSG00000288397","MIR181C"
"261","ENSG00000288329","MIR181D"
"262","ENSG00000288152","BRME1"
"263","ENSG00000288293","CC2D1A"
"264","ENSG00000288195","PODNL1"
