"gene_id","control_mean"
"ENSG00000000003","ENSG00000000003",196.566666666667
"ENSG00000000005","ENSG00000000005",1.6
"ENSG00000000419","ENSG00000000419",131.4
"ENSG00000000457","ENSG00000000457",294.466666666667
"ENSG00000000460","ENSG00000000460",138.4
"ENSG00000000938","ENSG00000000938",104.266666666667
"ENSG00000000971","ENSG00000000971",569.8
"ENSG00000001036","ENSG00000001036",317.966666666667
"ENSG00000001084","ENSG00000001084",1209.86666666667
"ENSG00000001167","ENSG00000001167",885.533333333333
"ENSG00000001460","ENSG00000001460",311.8
"ENSG00000001461","ENSG00000001461",3529.43333333333
"ENSG00000001497","ENSG00000001497",949.033333333333
"ENSG00000001561","ENSG00000001561",1480.56666666667
"ENSG00000001617","ENSG00000001617",136.366666666667
"ENSG00000001626","ENSG00000001626",79.2666666666667
"ENSG00000001629","ENSG00000001629",3559.8
"ENSG00000001630","ENSG00000001630",1704.36666666667
"ENSG00000001631","ENSG00000001631",770.066666666667
"ENSG00000002016","ENSG00000002016",407.4
"ENSG00000002079","ENSG00000002079",5.6
"ENSG00000002330","ENSG00000002330",387.466666666667
"ENSG00000002549","ENSG00000002549",641.3
"ENSG00000002586","ENSG00000002586",830.1
"ENSG00000002587","ENSG00000002587",107.566666666667
"ENSG00000002726","ENSG00000002726",1.93333333333333
"ENSG00000002745","ENSG00000002745",16
"ENSG00000002746","ENSG00000002746",1679
"ENSG00000002822","ENSG00000002822",258.333333333333
"ENSG00000002834","ENSG00000002834",1822.26666666667
"ENSG00000002919","ENSG00000002919",258.833333333333
"ENSG00000002933","ENSG00000002933",154
"ENSG00000003056","ENSG00000003056",686.866666666667
"ENSG00000003096","ENSG00000003096",117.9
"ENSG00000003137","ENSG00000003137",356.8
"ENSG00000003147","ENSG00000003147",371.6
"ENSG00000003249","ENSG00000003249",626.633333333333
"ENSG00000003393","ENSG00000003393",1308.13333333333
"ENSG00000003400","ENSG00000003400",134.933333333333
"ENSG00000003402","ENSG00000003402",2604.53333333333
"ENSG00000003436","ENSG00000003436",142
"ENSG00000003509","ENSG00000003509",253.566666666667
"ENSG00000003756","ENSG00000003756",3192.36666666667
"ENSG00000003987","ENSG00000003987",1061.56666666667
"ENSG00000003989","ENSG00000003989",979
"ENSG00000004059","ENSG00000004059",1099.93333333333
"ENSG00000004139","ENSG00000004139",869.7
"ENSG00000004142","ENSG00000004142",941.2
"ENSG00000004399","ENSG00000004399",2287.63333333333
"ENSG00000004455","ENSG00000004455",1269.86666666667
"ENSG00000004468","ENSG00000004468",362.266666666667
"ENSG00000004478","ENSG00000004478",1484.53333333333
"ENSG00000004487","ENSG00000004487",803.666666666667
"ENSG00000004534","ENSG00000004534",1615.46666666667
"ENSG00000004660","ENSG00000004660",1192.86666666667
"ENSG00000004700","ENSG00000004700",243.533333333333
"ENSG00000004766","ENSG00000004766",738.666666666667
"ENSG00000004776","ENSG00000004776",174.566666666667
"ENSG00000004777","ENSG00000004777",936.233333333333
"ENSG00000004779","ENSG00000004779",171.066666666667
"ENSG00000004799","ENSG00000004799",2513
"ENSG00000004809","ENSG00000004809",5.5
"ENSG00000004838","ENSG00000004838",45.9666666666667
"ENSG00000004846","ENSG00000004846",1.8
"ENSG00000004848","ENSG00000004848",168.566666666667
"ENSG00000004864","ENSG00000004864",416.833333333333
"ENSG00000004866","ENSG00000004866",327.933333333333
"ENSG00000004897","ENSG00000004897",1478.73333333333
"ENSG00000004939","ENSG00000004939",16.0333333333333
"ENSG00000004948","ENSG00000004948",1.93333333333333
"ENSG00000004961","ENSG00000004961",153.833333333333
"ENSG00000004975","ENSG00000004975",592.6
"ENSG00000005001","ENSG00000005001",0.266666666666667
"ENSG00000005007","ENSG00000005007",1848.03333333333
"ENSG00000005020","ENSG00000005020",360.166666666667
"ENSG00000005022","ENSG00000005022",1164.03333333333
"ENSG00000005059","ENSG00000005059",73.1333333333333
"ENSG00000005073","ENSG00000005073",0.0333333333333333
"ENSG00000005075","ENSG00000005075",158.266666666667
"ENSG00000005100","ENSG00000005100",569.7
"ENSG00000005102","ENSG00000005102",14.6666666666667
"ENSG00000005108","ENSG00000005108",538.933333333333
"ENSG00000005156","ENSG00000005156",956.7
"ENSG00000005175","ENSG00000005175",454.633333333333
"ENSG00000005187","ENSG00000005187",7.73333333333333
"ENSG00000005189","ENSG00000005189",39.4
"ENSG00000005194","ENSG00000005194",350.566666666667
"ENSG00000005206","ENSG00000005206",1057.56666666667
"ENSG00000005238","ENSG00000005238",520.7
"ENSG00000005243","ENSG00000005243",49.9
"ENSG00000005249","ENSG00000005249",990.9
"ENSG00000005302","ENSG00000005302",510.033333333333
"ENSG00000005339","ENSG00000005339",3701.66666666667
"ENSG00000005379","ENSG00000005379",2752.96666666667
"ENSG00000005381","ENSG00000005381",21.9
"ENSG00000005421","ENSG00000005421",16.0333333333333
"ENSG00000005436","ENSG00000005436",537.4
"ENSG00000005448","ENSG00000005448",184.733333333333
"ENSG00000005469","ENSG00000005469",147.266666666667
"ENSG00000005471","ENSG00000005471",13.6333333333333
"ENSG00000005483","ENSG00000005483",3622.8
"ENSG00000005486","ENSG00000005486",1956.06666666667
"ENSG00000005513","ENSG00000005513",2388.43333333333
"ENSG00000005700","ENSG00000005700",1104.56666666667
"ENSG00000005801","ENSG00000005801",771.8
"ENSG00000005810","ENSG00000005810",7941.6
"ENSG00000005812","ENSG00000005812",1555.53333333333
"ENSG00000005844","ENSG00000005844",95.7
"ENSG00000005882","ENSG00000005882",1393.9
"ENSG00000005884","ENSG00000005884",527.4
"ENSG00000005889","ENSG00000005889",1119.46666666667
"ENSG00000005893","ENSG00000005893",7689.96666666667
"ENSG00000005961","ENSG00000005961",67.8333333333333
"ENSG00000005981","ENSG00000005981",58.0666666666667
"ENSG00000006007","ENSG00000006007",1150.13333333333
"ENSG00000006015","ENSG00000006015",405.6
"ENSG00000006016","ENSG00000006016",338.533333333333
"ENSG00000006025","ENSG00000006025",410.1
"ENSG00000006042","ENSG00000006042",1243.23333333333
"ENSG00000006047","ENSG00000006047",31.7666666666667
"ENSG00000006059","ENSG00000006059",0.166666666666667
"ENSG00000006062","ENSG00000006062",264.9
"ENSG00000006071","ENSG00000006071",1298.56666666667
"ENSG00000006116","ENSG00000006116",520.033333333333
"ENSG00000006118","ENSG00000006118",1946.6
"ENSG00000006125","ENSG00000006125",7141.43333333333
"ENSG00000006128","ENSG00000006128",54.2
"ENSG00000006194","ENSG00000006194",418.866666666667
"ENSG00000006210","ENSG00000006210",1363.13333333333
"ENSG00000006282","ENSG00000006282",790.233333333333
"ENSG00000006283","ENSG00000006283",465.866666666667
"ENSG00000006327","ENSG00000006327",40.4
"ENSG00000006377","ENSG00000006377",23.4666666666667
"ENSG00000006432","ENSG00000006432",1758.1
"ENSG00000006451","ENSG00000006451",521.433333333333
"ENSG00000006453","ENSG00000006453",71.8333333333333
"ENSG00000006459","ENSG00000006459",742.9
"ENSG00000006468","ENSG00000006468",643.666666666667
"ENSG00000006530","ENSG00000006530",849.9
"ENSG00000006534","ENSG00000006534",105.8
"ENSG00000006555","ENSG00000006555",13.3
"ENSG00000006576","ENSG00000006576",545.2
"ENSG00000006606","ENSG00000006606",0.8
"ENSG00000006607","ENSG00000006607",1209.5
"ENSG00000006611","ENSG00000006611",241.2
"ENSG00000006625","ENSG00000006625",84.9
"ENSG00000006634","ENSG00000006634",73.7
"ENSG00000006638","ENSG00000006638",23.8333333333333
"ENSG00000006652","ENSG00000006652",691.366666666667
"ENSG00000006659","ENSG00000006659",0.0333333333333333
"ENSG00000006695","ENSG00000006695",237.366666666667
"ENSG00000006704","ENSG00000006704",511.833333333333
"ENSG00000006712","ENSG00000006712",632.966666666667
"ENSG00000006715","ENSG00000006715",1534.8
"ENSG00000006740","ENSG00000006740",1250.26666666667
"ENSG00000006744","ENSG00000006744",790
"ENSG00000006747","ENSG00000006747",229.8
"ENSG00000006756","ENSG00000006756",252.933333333333
"ENSG00000006757","ENSG00000006757",144.666666666667
"ENSG00000006788","ENSG00000006788",1.3
"ENSG00000006831","ENSG00000006831",3448.56666666667
"ENSG00000006837","ENSG00000006837",119.9
"ENSG00000007001","ENSG00000007001",48.7333333333333
"ENSG00000007038","ENSG00000007038",1.5
"ENSG00000007047","ENSG00000007047",863.166666666667
"ENSG00000007062","ENSG00000007062",137.766666666667
"ENSG00000007080","ENSG00000007080",335.1
"ENSG00000007129","ENSG00000007129",7.53333333333333
"ENSG00000007168","ENSG00000007168",7218.7
"ENSG00000007171","ENSG00000007171",71.5666666666667
"ENSG00000007174","ENSG00000007174",331.2
"ENSG00000007202","ENSG00000007202",3846.03333333333
"ENSG00000007216","ENSG00000007216",0.6
"ENSG00000007237","ENSG00000007237",13396.9
"ENSG00000007255","ENSG00000007255",77.6
"ENSG00000007264","ENSG00000007264",260.433333333333
"ENSG00000007306","ENSG00000007306",0.0333333333333333
"ENSG00000007312","ENSG00000007312",2.9
"ENSG00000007314","ENSG00000007314",9.7
"ENSG00000007341","ENSG00000007341",362.5
"ENSG00000007350","ENSG00000007350",9.6
"ENSG00000007372","ENSG00000007372",636.666666666667
"ENSG00000007376","ENSG00000007376",230.333333333333
"ENSG00000007384","ENSG00000007384",240.2
"ENSG00000007392","ENSG00000007392",1355.56666666667
"ENSG00000007402","ENSG00000007402",358.433333333333
"ENSG00000007516","ENSG00000007516",3211.1
"ENSG00000007520","ENSG00000007520",196.933333333333
"ENSG00000007541","ENSG00000007541",719.9
"ENSG00000007545","ENSG00000007545",850.666666666667
"ENSG00000007866","ENSG00000007866",96
"ENSG00000007908","ENSG00000007908",121.933333333333
"ENSG00000007923","ENSG00000007923",772.166666666667
"ENSG00000007933","ENSG00000007933",22.9
"ENSG00000007944","ENSG00000007944",402.033333333333
"ENSG00000007952","ENSG00000007952",1.5
"ENSG00000007968","ENSG00000007968",2.6
"ENSG00000008018","ENSG00000008018",521.333333333333
"ENSG00000008056","ENSG00000008056",3723.26666666667
"ENSG00000008083","ENSG00000008083",762.5
"ENSG00000008086","ENSG00000008086",4121.46666666667
"ENSG00000008118","ENSG00000008118",781.4
"ENSG00000008128","ENSG00000008128",240
"ENSG00000008130","ENSG00000008130",576.633333333333
"ENSG00000008196","ENSG00000008196",0.6
"ENSG00000008197","ENSG00000008197",0.2
"ENSG00000008226","ENSG00000008226",94.1333333333333
"ENSG00000008256","ENSG00000008256",804.9
"ENSG00000008277","ENSG00000008277",2608.36666666667
"ENSG00000008282","ENSG00000008282",858.366666666667
"ENSG00000008283","ENSG00000008283",493.2
"ENSG00000008294","ENSG00000008294",6427.46666666667
"ENSG00000008300","ENSG00000008300",1774.36666666667
"ENSG00000008311","ENSG00000008311",1392.5
"ENSG00000008323","ENSG00000008323",4.4
"ENSG00000008324","ENSG00000008324",144.366666666667
"ENSG00000008382","ENSG00000008382",171.7
"ENSG00000008394","ENSG00000008394",728.666666666667
"ENSG00000008405","ENSG00000008405",342.633333333333
"ENSG00000008438","ENSG00000008438",11.3
"ENSG00000008441","ENSG00000008441",6858.06666666667
"ENSG00000008513","ENSG00000008513",744.133333333333
"ENSG00000008516","ENSG00000008516",31.6333333333333
"ENSG00000008517","ENSG00000008517",82.4666666666667
"ENSG00000008710","ENSG00000008710",11325.6333333333
"ENSG00000008735","ENSG00000008735",3347.5
"ENSG00000008838","ENSG00000008838",1175.03333333333
"ENSG00000008853","ENSG00000008853",1819.73333333333
"ENSG00000008869","ENSG00000008869",1542.23333333333
"ENSG00000008952","ENSG00000008952",3915.46666666667
"ENSG00000008988","ENSG00000008988",1783.36666666667
"ENSG00000009307","ENSG00000009307",6308.3
"ENSG00000009335","ENSG00000009335",1347.83333333333
"ENSG00000009413","ENSG00000009413",2536.2
"ENSG00000009694","ENSG00000009694",793.7
"ENSG00000009709","ENSG00000009709",35.6333333333333
"ENSG00000009724","ENSG00000009724",146.6
"ENSG00000009765","ENSG00000009765",0.6
"ENSG00000009780","ENSG00000009780",200.433333333333
"ENSG00000009790","ENSG00000009790",87.7333333333333
"ENSG00000009830","ENSG00000009830",768.166666666667
"ENSG00000009844","ENSG00000009844",608.8
"ENSG00000009950","ENSG00000009950",410.066666666667
"ENSG00000009954","ENSG00000009954",2178.46666666667
"ENSG00000010017","ENSG00000010017",1366.86666666667
"ENSG00000010030","ENSG00000010030",9.46666666666667
"ENSG00000010072","ENSG00000010072",231.933333333333
"ENSG00000010165","ENSG00000010165",336.033333333333
"ENSG00000010219","ENSG00000010219",155.066666666667
"ENSG00000010244","ENSG00000010244",3764.1
"ENSG00000010256","ENSG00000010256",1155.83333333333
"ENSG00000010270","ENSG00000010270",375.966666666667
"ENSG00000010278","ENSG00000010278",1837.13333333333
"ENSG00000010282","ENSG00000010282",1679.8
"ENSG00000010292","ENSG00000010292",669.866666666667
"ENSG00000010295","ENSG00000010295",690.266666666667
"ENSG00000010310","ENSG00000010310",106.366666666667
"ENSG00000010318","ENSG00000010318",94.6
"ENSG00000010319","ENSG00000010319",233.833333333333
"ENSG00000010322","ENSG00000010322",5608.6
"ENSG00000010327","ENSG00000010327",875.633333333333
"ENSG00000010361","ENSG00000010361",227.333333333333
"ENSG00000010379","ENSG00000010379",111.866666666667
"ENSG00000010404","ENSG00000010404",20781.7
"ENSG00000010438","ENSG00000010438",107.033333333333
"ENSG00000010539","ENSG00000010539",132.266666666667
"ENSG00000010610","ENSG00000010610",234.666666666667
"ENSG00000010626","ENSG00000010626",191.133333333333
"ENSG00000010671","ENSG00000010671",56.4666666666667
"ENSG00000010704","ENSG00000010704",75.1666666666667
"ENSG00000010803","ENSG00000010803",462.1
"ENSG00000010810","ENSG00000010810",2688.6
"ENSG00000010818","ENSG00000010818",5029.03333333333
"ENSG00000010932","ENSG00000010932",1.4
"ENSG00000011007","ENSG00000011007",820.266666666667
"ENSG00000011009","ENSG00000011009",192.5
"ENSG00000011021","ENSG00000011021",1869.03333333333
"ENSG00000011028","ENSG00000011028",295.733333333333
"ENSG00000011052","ENSG00000011052",51.8666666666667
"ENSG00000011083","ENSG00000011083",501.066666666667
"ENSG00000011105","ENSG00000011105",280.6
"ENSG00000011114","ENSG00000011114",1153.9
"ENSG00000011132","ENSG00000011132",378.933333333333
"ENSG00000011143","ENSG00000011143",170.566666666667
"ENSG00000011198","ENSG00000011198",523.333333333333
"ENSG00000011201","ENSG00000011201",752.733333333333
"ENSG00000011243","ENSG00000011243",1103.43333333333
"ENSG00000011258","ENSG00000011258",491.4
"ENSG00000011260","ENSG00000011260",160.733333333333
"ENSG00000011275","ENSG00000011275",1277.76666666667
"ENSG00000011295","ENSG00000011295",1269.33333333333
"ENSG00000011304","ENSG00000011304",1067.7
"ENSG00000011332","ENSG00000011332",374.9
"ENSG00000011347","ENSG00000011347",3238.43333333333
"ENSG00000011376","ENSG00000011376",653.733333333333
"ENSG00000011405","ENSG00000011405",2888.7
"ENSG00000011422","ENSG00000011422",108.033333333333
"ENSG00000011426","ENSG00000011426",4731.9
"ENSG00000011451","ENSG00000011451",1037.06666666667
"ENSG00000011454","ENSG00000011454",2491.43333333333
"ENSG00000011465","ENSG00000011465",876.533333333333
"ENSG00000011478","ENSG00000011478",89.0333333333333
"ENSG00000011485","ENSG00000011485",1049.8
"ENSG00000011523","ENSG00000011523",1339.03333333333
"ENSG00000011566","ENSG00000011566",847.266666666667
"ENSG00000011590","ENSG00000011590",50.1
"ENSG00000011600","ENSG00000011600",108.433333333333
"ENSG00000011638","ENSG00000011638",43.7
"ENSG00000011677","ENSG00000011677",653.7
"ENSG00000012048","ENSG00000012048",276.466666666667
"ENSG00000012061","ENSG00000012061",899.833333333333
"ENSG00000012124","ENSG00000012124",2143.86666666667
"ENSG00000012171","ENSG00000012171",2871.26666666667
"ENSG00000012174","ENSG00000012174",516.766666666667
"ENSG00000012211","ENSG00000012211",51.0333333333333
"ENSG00000012223","ENSG00000012223",184.033333333333
"ENSG00000012232","ENSG00000012232",1737.96666666667
"ENSG00000012504","ENSG00000012504",1.3
"ENSG00000012660","ENSG00000012660",1896.53333333333
"ENSG00000012779","ENSG00000012779",141.766666666667
"ENSG00000012817","ENSG00000012817",964.866666666667
"ENSG00000012822","ENSG00000012822",2079.66666666667
"ENSG00000012963","ENSG00000012963",611.966666666667
"ENSG00000012983","ENSG00000012983",2127.26666666667
"ENSG00000013016","ENSG00000013016",2145.46666666667
"ENSG00000013275","ENSG00000013275",837.3
"ENSG00000013288","ENSG00000013288",1221.26666666667
"ENSG00000013293","ENSG00000013293",2256.76666666667
"ENSG00000013297","ENSG00000013297",7900.5
"ENSG00000013306","ENSG00000013306",556.333333333333
"ENSG00000013364","ENSG00000013364",687.3
"ENSG00000013374","ENSG00000013374",784.8
"ENSG00000013375","ENSG00000013375",642.433333333333
"ENSG00000013392","ENSG00000013392",264.133333333333
"ENSG00000013441","ENSG00000013441",2788.1
"ENSG00000013503","ENSG00000013503",286
"ENSG00000013523","ENSG00000013523",1168.46666666667
