"sample","B_cell_score","T_cell_score"
"GSM8813321","GSM8813321",1.31953972921655,1.01646128004908
"GSM8813322","GSM8813322",0.220046745176948,0.934586971046103
"GSM8813323","GSM8813323",0.118600738399086,0.891064944348808
"GSM8813324","GSM8813324",1.85457114413958,1.14744160438981
"GSM8813325","GSM8813325",0.275170258966679,0.772276773906661
"GSM8813326","GSM8813326",3.05650049875945,1.01670920139744
"GSM8813327","GSM8813327",0.301918814837505,1.05316051687665
"GSM8813328","GSM8813328",0.206997695952944,0.935096139490029
"GSM8813329","GSM8813329",2.40379238603384,1.04360472555639
"GSM8813330","GSM8813330",0.38936524184741,0.953964284525879
"GSM8813331","GSM8813331",1.33060520782239,1.17608061456685
"GSM8813332","GSM8813332",2.34759216832517,1.22250072125556
"GSM8813333","GSM8813333",0.1379346175904,0.926423943418799
"GSM8813334","GSM8813334",0.272204126781767,0.90114952533523
"GSM8813335","GSM8813335",0.0664812529980924,0.965659878780262
"GSM8813336","GSM8813336",0.212709115690165,0.867059349946149
"GSM8813337","GSM8813337",1.43071981815917,0.937032182576413
"GSM8813338","GSM8813338",0.298344238862047,0.981890203847847
"GSM8813339","GSM8813339",0.17111587769186,0.795604256298622
"GSM8813340","GSM8813340",0.145166373274273,0.833379253486175
"GSM8813341","GSM8813341",0.930872885015106,1.02319908568115
"GSM8813342","GSM8813342",0.236821250379775,1.05743268056686
"GSM8813343","GSM8813343",0.0830518464755373,0.946354785265846
"GSM8813344","GSM8813344",0.359722790778124,1.00188135190963
"GSM8813345","GSM8813345",4.2360178966047,1.06905337019389
"GSM8813346","GSM8813346",1.01022837876564,0.979340664895713
"GSM8813347","GSM8813347",0.282388816618822,1.0035912720819
"GSM8813348","GSM8813348",1.02337452930941,0.86041025095079
"GSM8813349","GSM8813349",0.0669533835705681,0.859075955305682
"GSM8813350","GSM8813350",0.264378643107175,0.932407383638625
"GSM8813351","GSM8813351",1.1621475914266,0.921018441744772
"GSM8813352","GSM8813352",2.51846422877668,0.987281991883344
"GSM8813353","GSM8813353",1.28423760929601,1.07299135064836
"GSM8813354","GSM8813354",0.890926719811491,0.986470822749828
"GSM8813355","GSM8813355",0.325159078513505,1.23769713308795
"GSM8813356","GSM8813356",0.786296657480578,1.19701140660944
"GSM8813357","GSM8813357",1.13090866187254,1.00185633787248
"GSM8813358","GSM8813358",0.724424718270205,1.11090316692923
"GSM8813359","GSM8813359",0.663738934683427,1.04828768262737
"GSM8813360","GSM8813360",0.173123498093878,1.03104657543932
"GSM8813361","GSM8813361",0.399792207196354,1.01806826700263
"GSM8813362","GSM8813362",1.5660829795457,0.971054662231282
"GSM8813363","GSM8813363",0.290852563420554,0.89883284494326
"GSM8813364","GSM8813364",1.53749491052129,1.11789727311878
"GSM8813365","GSM8813365",0.874057544597715,0.922043296990146
"GSM8813366","GSM8813366",0.187041052809696,0.600459252136449
"GSM8813367","GSM8813367",1.61804614099706,1.06350512451814
"GSM8813368","GSM8813368",2.68772312368751,1.1550849541149
"GSM8813369","GSM8813369",3.90856079646333,1.26454047179862
"GSM8813370","GSM8813370",0.285072317832963,0.934935708486393
"GSM8813371","GSM8813371",0.0882326793386999,0.853525144874139
"GSM8813372","GSM8813372",0.266749369698142,0.998938099402929
"GSM8813373","GSM8813373",0.195126558977899,0.926271823219629
"GSM8813374","GSM8813374",2.0963720807485,1.05783442659514
"GSM8813375","GSM8813375",2.93695677649283,1.01476618911588
"GSM8813376","GSM8813376",0.977981293883123,0.80200908837202
"GSM8813377","GSM8813377",1.57296519159391,0.687679900079332
"GSM8813378","GSM8813378",1.03228218806315,0.950083079506549
"GSM8813379","GSM8813379",0.0307723146253539,0.778126885209212
"GSM8813380","GSM8813380",0.292773436890017,0.934456629422406
"GSM8813381","GSM8813381",0.0385681831609231,0.814028232499587
"GSM8813382","GSM8813382",0.376009901483244,1.02184422066086
"GSM8813383","GSM8813383",0.161017675330408,0.801595520012954
"GSM8813384","GSM8813384",0.104420634405249,0.896283599562774
"GSM8813385","GSM8813385",0.561362209274938,0.936504870714564
"GSM8813386","GSM8813386",2.18025153938359,0.97296667327368
"GSM8813387","GSM8813387",0.313869823583211,0.917349032702367
"GSM8813388","GSM8813388",2.80875733644146,1.08376254984444
"GSM8813389","GSM8813389",1.40171625844414,0.918029549766264
"GSM8813390","GSM8813390",1.98216413841873,1.04812936978616
"GSM8813391","GSM8813391",1.47680600888713,0.987047047465113
"GSM8813392","GSM8813392",0.969728398577594,1.22175368963214
"GSM8813393","GSM8813393",0.103652413140705,0.951667144862739
"GSM8813394","GSM8813394",0.155448624149414,0.756751453092247
"GSM8813395","GSM8813395",2.35601176858209,1.2085278767675
"GSM8813396","GSM8813396",1.16455337015867,1.0182864642463
"GSM8813397","GSM8813397",0.414925794093664,0.940833579300989
"GSM8813398","GSM8813398",0.471965080177554,0.952401253144237
