"","row","gene_id","percent_GC","length"
"42603",42603,"ENSG00000000003",40.4,12883
"14851",14851,"ENSG00000000005",40.78,14949
"13532",13532,"ENSG00000000419",40.2,24273
"21808",21808,"ENSG00000000457",40.14,44636
"20136",20136,"ENSG00000000460",39.22,192073
"45187",45187,"ENSG00000000938",52.92,23121
"74347",74347,"ENSG00000000971",35.08,100722
"13098",13098,"ENSG00000001036",39.72,16908
"43570",43570,"ENSG00000001084",40.16,119629
"62288",62288,"ENSG00000001167",40.69,29429
"41463",41463,"ENSG00000001460",44.09,59935
"86191",86191,"ENSG00000001461",44.7,60933
"25914",25914,"ENSG00000001497",42.78,96261
"7384",7384,"ENSG00000001561",36.05,16699
"74465",74465,"ENSG00000001617",57.74,34030
"45780",45780,"ENSG00000001626",36.9,428851
"10099",10099,"ENSG00000001629",36.83,155409
"38268",38268,"ENSG00000001630",38.33,49816
"38298",38298,"ENSG00000001631",36.51,48668
"25217",25217,"ENSG00000002016",45.19,78317
"29916",29916,"ENSG00000002330",53.92,14874
"39284",39284,"ENSG00000002549",44.16,30774
"24352",24352,"ENSG00000002586",47.38,50122
"4174",4174,"ENSG00000002587",43.92,36414
"24960",24960,"ENSG00000002726",47.8,36877
"70919",70919,"ENSG00000002745",38.61,15737
"6302",6302,"ENSG00000002746",42.03,453372
"32986",32986,"ENSG00000002822",55.65,417450
"70435",70435,"ENSG00000002834",53.69,51911
"71796",71796,"ENSG00000002919",48.03,20244
"22771",22771,"ENSG00000002933",57.55,4715
"22521",22521,"ENSG00000003056",42.37,9400
"35523",35523,"ENSG00000003096",36.56,219527
"51022",51022,"ENSG00000003137",59.85,18624
"4145",4145,"ENSG00000003147",40.3,149503
"25881",25881,"ENSG00000003249",59.3,15019
"48546",48546,"ENSG00000003393",38.18,81845
"69666",69666,"ENSG00000003400",42.31,46556
"60913",60913,"ENSG00000003402",44.35,60533
"23330",23330,"ENSG00000003436",36.6,101530
"28612",28612,"ENSG00000003509",38.97,21772
"58035",58035,"ENSG00000003756",44.45,30102
"43703",43703,"ENSG00000003987",40.26,116734
"43742",43742,"ENSG00000003989",40.13,73485
"54076",54076,"ENSG00000004059",56.14,3314
"24498",24498,"ENSG00000004139",51.55,39693
"11831",11831,"ENSG00000004142",49.87,10894
"49369",49369,"ENSG00000004399",58.3,51462
"72377",72377,"ENSG00000004455",46.32,73010
"18905",18905,"ENSG00000004468",41.09,74957
"61006",61006,"ENSG00000004478",51.53,10453
"59741",59741,"ENSG00000004487",39.17,64246
"57893",57893,"ENSG00000004534",44.14,160038
"76632",76632,"ENSG00000004660",57.17,34576
"44784",44784,"ENSG00000004700",37.57,32759
"9461",9461,"ENSG00000004766",34.82,128783
"23511",23511,"ENSG00000004776",62.52,3513
"42615",42615,"ENSG00000004777",60.93,14290
"21521",21521,"ENSG00000004779",48.72,15302
"43487",43487,"ENSG00000004799",36.08,13017
"15675",15675,"ENSG00000004809",41.33,51954
"75064",75064,"ENSG00000004838",58.49,4622
"37242",37242,"ENSG00000004846",37.72,161371
"18335",18335,"ENSG00000004848",54.62,12726
"21021",21021,"ENSG00000004864",39.76,201927
"30854",30854,"ENSG00000004866",39.15,276938
"48110",48110,"ENSG00000004897",38.66,71719
"36798",36798,"ENSG00000004939",55.79,19751
"22449",22449,"ENSG00000004948",35.2,150244
"2447",2447,"ENSG00000004961",42.97,11785
"38135",38135,"ENSG00000004975",55.13,9175
"55552",55552,"ENSG00000005001",59.35,5440
"57507",57507,"ENSG00000005007",55.14,36271
"7629",7629,"ENSG00000005020",36.94,328171
"31788",31788,"ENSG00000005022",52.54,2974
"9496",9496,"ENSG00000005059",41.01,128510
"37041",37041,"ENSG00000005073",54.37,4075
"43739",43739,"ENSG00000005075",54.98,5794
"58397",58397,"ENSG00000005100",45.78,28065
"63383",63383,"ENSG00000005102",51.6,21533
"71763",71763,"ENSG00000005108",35.51,461833
"77429",77429,"ENSG00000005156",47.21,29231
"71516",71516,"ENSG00000005175",36.55,44781
"35012",35012,"ENSG00000005187",41.08,187338
"35123",35123,"ENSG00000005189",39.89,43236
"7200",7200,"ENSG00000005194",44.27,19233
"27842",27842,"ENSG00000005206",61.04,26480
"21763",21763,"ENSG00000005238",54.68,12229
"71733",71733,"ENSG00000005243",52.71,11863
"50802",50802,"ENSG00000005249",38.61,117106
"9428",9428,"ENSG00000005302",42.85,17613
"3922",3922,"ENSG00000005339",45.01,155659
"49681",49681,"ENSG00000005379",57.84,27567
"49670",49670,"ENSG00000005381",55.12,11080
"10589",10589,"ENSG00000005421",40.31,26856
"13324",13324,"ENSG00000005436",36.39,58985
"28987",28987,"ENSG00000005448",54.68,4077
