"row","gene_id","percent_GC","length"
"1","ENSG00000210049",40.85,70
"2","ENSG00000211459",45.49,953
"3","ENSG00000210077",42.03,68
"4","ENSG00000210082",42.81,1558
"5","ENSG00000209082",38.67,74
"6","ENSG00000198888",47.7,955
"7","ENSG00000210100",28.99,68
"8","ENSG00000210107",48.61,71
"9","ENSG00000210112",45.59,67
"10","ENSG00000198763",42.99,1041
"11","ENSG00000210117",35.29,67
"12","ENSG00000210127",43.48,68
"13","ENSG00000210135",41.1,72
"14","ENSG00000210140",45.45,65
"15","ENSG00000210144",42.42,65
"16","ENSG00000198804",46.24,1541
"17","ENSG00000210151",49.28,68
"18","ENSG00000210154",23.53,67
"19","ENSG00000198712",46.2,683
"20","ENSG00000210156",32.86,69
"21","ENSG00000228253",39.61,206
"22","ENSG00000198899",44.2,680
"23","ENSG00000198938",46.56,783
"24","ENSG00000210164",26.47,67
"25","ENSG00000198840",40.17,345
"26","ENSG00000210174",23.08,64
"27","ENSG00000212907",43.1,296
"28","ENSG00000198886",44.27,1377
"29","ENSG00000210176",36.23,68
"30","ENSG00000210184",45.76,58
"31","ENSG00000210191",35.21,70
"32","ENSG00000198786",44.92,1811
"33","ENSG00000198695",42.67,524
"34","ENSG00000210194",39.13,68
"35","ENSG00000198727",46.28,1140
"36","ENSG00000210195",37.88,65
"37","ENSG00000210196",33.82,67
"38","ENSG00000299200",43.69,86497
"39","ENSG00000308964",40.72,29771
"40","ENSG00000278457",58.82,118
"41","ENSG00000271254",44.36,25014
"42","ENSG00000276197",75.56,89
"43","ENSG00000278573",43.73,605
"44","ENSG00000278704",47.38,2236
"45","ENSG00000309338",51.56,16807
"46","ENSG00000309357",47.55,7197
"47","ENSG00000297432",34.55,20263
"48","ENSG00000297449",31.56,4280
"49","ENSG00000299314",35.66,6056
"50","ENSG00000295063",40.3,17480
"51","ENSG00000303867",38.53,71153
"52","ENSG00000309229",41.9,3233
"53","ENSG00000278294",51.32,151
"54","ENSG00000274917",57.52,152
"55","ENSG00000307034",60.42,383
"56","ENSG00000310277",40.71,29788
"57","ENSG00000273730",57.52,152
"58","ENSG00000273937",75.56,89
"59","ENSG00000277196",58.96,23770
"60","ENSG00000308580",45.57,2031
"61","ENSG00000296546",45.78,3247
"62","ENSG00000303173",38.81,75693
"63","ENSG00000296902",32.4,2758
"64","ENSG00000297619",35.98,30186
"65","ENSG00000296713",49.82,836
"66","ENSG00000305511",62.23,25224
"67","ENSG00000305525",50.06,842
"68","ENSG00000278625",35.85,105
"69","ENSG00000294644",43.3,22227
"70","ENSG00000306721",43.57,85423
"71","ENSG00000300051",40.97,75407
"72","ENSG00000303750",40.41,1016
"73","ENSG00000278817",57.94,5898
"74","ENSG00000276017",60.52,2403
"75","ENSG00000297072",47.33,40078
"76","ENSG00000300074",36.21,5791
"77","ENSG00000300093",38.97,1459
"78","ENSG00000301131",43.24,7206
"79","ENSG00000300846",40.34,7299
"80","ENSG00000307470",40.35,16634
"81","ENSG00000303733",56.36,3498
"82","ENSG00000305236",56.48,2260
"83","ENSG00000309233",50.21,1184
"84","ENSG00000303902",39.84,37755
"85","ENSG00000302039",36.91,27742
"86","ENSG00000297844",44.73,1356
"87","ENSG00000277630",36.73,31652
"88","ENSG00000295160",41.86,4189
"89","ENSG00000300815",46.69,6759
"90","ENSG00000306528",36.49,5452
"91","ENSG00000304057",61.61,6816
"92","ENSG00000296348",36.4,5848
"93","ENSG00000277428",38.61,100
"94","ENSG00000307824",34.73,12736
"95","ENSG00000276256",37.57,6225
"96","ENSG00000295668",37.41,10445
"97","ENSG00000304745",39.76,79846
"98","ENSG00000303853",40.83,84515
"99","ENSG00000303221",38.94,81452
"100","ENSG00000306744",43.36,40142
"101","ENSG00000306767",35.71,12921
"102","ENSG00000308844",39.62,1829
"103","ENSG00000278793",43.93,106
"104","ENSG00000298861",41.01,24933
"105","ENSG00000308643",57.14,1989
"106","ENSG00000303875",47.16,14710
"107","ENSG00000303892",47.15,9609
"108","ENSG00000303912",38.52,988
"109","ENSG00000308185",38.98,41540
"110","ENSG00000277374",45.45,175
"111","ENSG00000303573",40.07,30283
"112","ENSG00000309296",34.66,14242
"113","ENSG00000307722",46.19,2679
"114","ENSG00000274202",31.86,112
"115","ENSG00000310401",36.32,12322
"116","ENSG00000309793",36.29,5808
"117","ENSG00000304792",38.79,42326
"118","ENSG00000304816",39.65,33400
"119","ENSG00000309831",38.16,12935
"120","ENSG00000309258",43.89,1373
"121","ENSG00000304845",34.2,13650
"122","ENSG00000275987",52.78,143
"123","ENSG00000268674",58.43,509
"124","ENSG00000277475",60.17,830
"125","ENSG00000275405",54.27,163
"126","ENSG00000298139",46.91,11804
"127","ENSG00000301573",40.55,9060
"128","ENSG00000301587",39.55,7274
"129","ENSG00000298153",46,10619
"130","ENSG00000298169",60.91,2974
"131","ENSG00000298181",57.89,949
"132","ENSG00000273748",38.41,29087
"133","ENSG00000296581",41.13,49248
"134","ENSG00000297972",37.45,47172
"135","ENSG00000293919",40.85,140023
"136","ENSG00000296598",37.63,42517
"137","ENSG00000300519",33.85,78085
"138","ENSG00000278633",60.44,2403
"139","ENSG00000278066",43.73,605
"140","ENSG00000296618",35.59,16047
"141","ENSG00000276711",31.86,112
"142","ENSG00000295378",38.68,19042
"143","ENSG00000302961",39.9,35669
"144","ENSG00000304422",54.83,13011
"145","ENSG00000275661",63.79,115
"146","ENSG00000276351",60.87,68
"147","ENSG00000276345",60.59,9217
"148","ENSG00000273532",77.46,70
"149","ENSG00000294171",62.23,6181
"150","ENSG00000297558",47.31,38402
"151","ENSG00000298095",43.37,6061
"152","ENSG00000296634",44.85,1834
"153","ENSG00000303588",48.99,11284
"154","ENSG00000293939",43.29,83548
"155","ENSG00000294191",63.93,2680
"156","ENSG00000308966",57.24,6353
"157","ENSG00000293969",38.61,62513
"158","ENSG00000309079",53.97,1685
